,cause,location,val
341,Respiratory infections and tuberculosis,United Kingdom,62.31644658015364
343,Respiratory infections and tuberculosis,Saint Kitts and Nevis,34.38127703826162
344,Respiratory infections and tuberculosis,Colombia,18.281361195312986
347,Respiratory infections and tuberculosis,Sierra Leone,125.999137246248
349,Respiratory infections and tuberculosis,Ukraine,29.339450202286482
350,Respiratory infections and tuberculosis,Dominican Republic,26.283753714594983
355,Respiratory infections and tuberculosis,Egypt,23.301699609722355
357,Respiratory infections and tuberculosis,Turkey,19.272016432904373
358,Respiratory infections and tuberculosis,Gambia,89.33112816640869
359,Respiratory infections and tuberculosis,El Salvador,38.04799653953543
362,Respiratory infections and tuberculosis,Democratic Republic of the Congo,109.4982891159753
365,Respiratory infections and tuberculosis,Côte d'Ivoire,97.6535424972966
366,Respiratory infections and tuberculosis,Dominica,47.50621405424846
370,Respiratory infections and tuberculosis,Denmark,42.60989429354579
372,Respiratory infections and tuberculosis,Bulgaria,30.176316463489023
375,Respiratory infections and tuberculosis,Costa Rica,15.265101682138269
376,Respiratory infections and tuberculosis,Somalia,207.61476169404702
378,Respiratory infections and tuberculosis,Seychelles,79.49446755514586
380,Respiratory infections and tuberculosis,Uganda,78.44526840981004
381,Respiratory infections and tuberculosis,Russian Federation,27.940395588881547
383,Respiratory infections and tuberculosis,Yemen,23.82262787626728
385,Respiratory infections and tuberculosis,Switzerland,22.250899657376532
388,Respiratory infections and tuberculosis,Sweden,28.88951782001637
389,Respiratory infections and tuberculosis,Republic of Moldova,29.55185124816756
392,Respiratory infections and tuberculosis,Tonga,37.89182741080877
394,Respiratory infections and tuberculosis,Philippines,79.83397954377989
396,Respiratory infections and tuberculosis,Cyprus,12.7319065240176
398,Respiratory infections and tuberculosis,Chad,166.78304204363175
400,Respiratory infections and tuberculosis,Hungary,13.452328649118321
402,Respiratory infections and tuberculosis,Iran (Islamic Republic of),13.102061488955894
404,Respiratory infections and tuberculosis,Zambia,87.47731953945872
406,Respiratory infections and tuberculosis,Ghana,87.84899161977509
